Дата,Год,Месяц,День,48-1 (0) trend,48-1 (0) seasonal,48-1 (0) resid,"48-1 (0,5) trend","48-1 (0,5) seasonal","48-1 (0,5) resid",48-1 (1) trend,48-1 (1) seasonal,48-1 (1) resid,"48-1 (1,5) trend","48-1 (1,5) seasonal","48-1 (1,5) resid",48-1 (2) trend,48-1 (2) seasonal,48-1 (2) resid,"48-1 (2,5) trend","48-1 (2,5) seasonal","48-1 (2,5) resid",48-1 (3) trend,48-1 (3) seasonal,48-1 (3) resid,"48-1 (3,5) trend","48-1 (3,5) seasonal","48-1 (3,5) resid",48-1 (4) trend,48-1 (4) seasonal,48-1 (4) resid,"48-1 (4,5) trend","48-1 (4,5) seasonal","48-1 (4,5) resid",48-1 (5) trend,48-1 (5) seasonal,48-1 (5) resid,48-1 (6) trend,48-1 (6) seasonal,48-1 (6) resid,48-1 (7) trend,48-1 (7) seasonal,48-1 (7) resid,48-1 (8) trend,48-1 (8) seasonal,48-1 (8) resid,48-1 (9) trend,48-1 (9) seasonal,48-1 (9) resid,48-1 (10) trend,48-1 (10) seasonal,48-1 (10) resid,48-1 (11) trend,48-1 (11) seasonal,48-1 (11) resid,48-Воздух (0) trend,48-Воздух (0) seasonal,48-Воздух (0) resid
2020-11-27,2020,11,27,-4.935538365545116,-8.257974258916954,7.723512624462071,-3.906445796984681,-1.958352413080763,3.8347982100654443,-3.7814829003151735,3.553028219230774,0.008454681084399507,-3.721961956608984,3.3383458603852536,0.4036160962237303,-3.6570899790899043,3.37671781878967,0.3003721603002343,-3.358217166602729,3.315619538892303,0.0625976277104261,-3.0987455802920847,3.0988042153589843,-0.010058635066899413,-3.9176777576063357,2.9945758497672754,0.8031019078390602,-4.1678218907007425,2.814890453609607,0.9929314370911357,-4.1558645912934695,2.7971988548358415,0.9486657364576279,-4.220194861285576,2.770461056460228,0.9297338048253483,-4.0659118150555855,2.6352897526844403,0.8906220623711452,-3.855412796604559,2.495071272506711,0.8203415240978482,-3.452403389926007,2.1617022512450887,0.7707011386809182,-2.8072161218398612,1.8137360765039616,0.6334800453358995,-2.1489967572796247,1.3137949475648794,0.5552018097147453,-1.3987239464266523,0.7189755664149379,0.5097483800117144,-3.9051441158336515,-7.793251002715865,-0.23160488145048364
2020-11-28,2020,11,28,-4.928107655351112,-10.467213076728335,8.195320732079447,-3.902648679906617,-2.616223527371159,4.2188722072777765,-3.7782552271452956,3.519762505265923,0.008492721879372667,-3.7191904923394397,3.315334887344101,0.4238556049953388,-3.6548492173206686,3.375187244004091,0.2996619733165775,-3.358294472349602,3.316361858879703,0.06193261346989898,-3.1006483778579987,3.1044400770290714,-0.01379169917107248,-3.916111357096673,2.9985866809133035,0.7875246761833696,-4.165983204094787,2.7805070745051403,1.0254761295896468,-4.154267896875398,2.7488909519217017,0.995376944953696,-4.218698727985193,2.664216441017992,1.024482286967201,-4.064563515034651,3.522164287928333,0.0023992271063182358,-3.854224285854111,2.446964692408437,0.8672595934456737,-3.4513838720242522,2.2024829295435753,0.7389009424806772,-2.8065242843350027,1.7704908241824298,0.6760334601525728,-2.148444037762044,1.2849293156095214,0.5835147221525228,-1.3986919863627747,0.7162401766806474,0.5024518096821273,-3.898971533377997,-5.917977455419305,0.8569489887973014
2020-11-29,2020,11,29,-4.920678153891642,-10.70704792316917,6.777726077060813,-3.8988517951850614,-3.4640857245054972,4.4129375196905585,-3.7750274705314,1.0445937116499646,2.3904337588814357,-3.7164186553046052,3.331252622868145,0.4051660324364601,-3.6526075117417447,3.368817884081765,0.30378962765997963,-3.3583709502676955,3.319497986278952,0.05887296398874353,-3.1025510960767706,3.1023023767450404,-0.00975128066826958,-3.914544962021726,2.969271505132525,0.8252734568892008,-4.164144473748037,2.7189529758615407,1.0951914978864958,-4.152671196461404,2.7264228853515835,1.0162483111098206,-4.2172025539002505,2.675382895271884,1.0018196586283663,-4.063215181044472,2.580553731714341,0.9426614493301311,-3.853035749874563,2.4143904080421894,0.8986453418323737,-3.4503643433741726,2.1470690067525666,0.7932953366216062,-2.8058324504658505,1.7909067279653028,0.6649257225005476,-2.147891340997814,1.2908122953836398,0.5770790456141741,-1.3986600439506953,0.7308938165110829,0.4877662274396124,-3.892799344491453,-3.937806947062108,1.2906062915535608
2020-11-30,2020,11,30,-4.913249869310907,-9.395748403269648,8.238998272580556,-3.8950551443947274,-3.925272090510402,4.470327234905129,-3.771799630719364,0.74348478087581,2.558314849843554,-3.7136464456699074,3.3253304789081777,0.40831596676172977,-3.6503648605480428,3.3738405279791985,0.29652433256884425,-3.358446595987721,3.32461494781773,0.0538316481699912,-3.1044537341566336,3.106349515052267,-0.011895780895633035,-3.9129785725856703,2.9503562055922194,0.8226223669934507,-4.162305699945666,2.717411721968269,1.0748939779773967,-4.151074490263258,2.669788419365176,1.0712860708980818,-4.215706339139499,2.6933948525736855,0.9823114865658131,-4.061866813119173,2.5412956416383317,0.9705711714808416,-3.8518471886827443,2.3565090417242103,0.955338146958534,-3.4493448040290775,2.0964401881323362,0.8629046158967415,-2.8051406203185727,1.758260519624922,0.6568801006936509,-2.147338667287176,1.2481263966790623,0.6192122706081138,-1.3986281194068835,0.7326404071186664,0.465987712288217,-3.8866275528397844,-1.0745528685794237,0.39118042141920784
2020-12-01,2020,12,1,-4.905822809815283,-10.411427226425669,11.027250036240952,-3.89125872912324,-4.103115706230602,4.9543744353538415,-3.7685717079637873,0.5123869200031389,2.7161847879606484,-3.7108738639063183,3.3193077572252463,0.4115661066810721,-3.648121262214647,3.365755968358606,0.3023652938560413,-3.358521405181009,3.314483372890722,0.06403803229028693,-3.10635629128751,3.1061152823662073,-0.009758991078697044,-3.9114121889959,2.9435752232624703,0.8078369657334297,-4.160466882979664,2.64666665748886,1.1338002254908042,-4.149477778496556,2.6194550158653653,1.110022762631191,-4.214210083815603,2.6093987556169926,1.0548113281986105,-4.060518411295739,2.467918905183044,1.0325995061126947,-3.850658602297035,2.3455000961476493,0.9651585061493857,-3.448325254043439,2.078249512176046,0.8700757418673928,-2.804448793980439,1.70337406545462,0.7110747285258192,-2.1467860169338246,1.2388574031082926,0.627928613825532,-1.3985962129501883,0.7349596568852939,0.4736365560648945,-3.880456162932424,-7.804853182434438,7.905309345366861
2020-12-02,2020,12,2,-4.898396983673651,-10.543887140184053,10.872284123857703,-3.887462550971096,-4.43761633485311,5.6550788858242065,-3.765343702526203,0.2746338083139502,2.950709894212253,-3.7081009107893967,3.3684737029582523,0.35962720783114444,-3.64587671549444,3.3688989760323524,0.3069777394620874,-3.358595373557283,3.3124501810077427,0.06614519254954043,-3.108258766640006,3.0964924397074984,0.001766326932507667,-3.90984581146305,2.927678239478364,0.8021675719846857,-4.158628023149247,2.596764002007876,1.1618640211413713,-4.147881061380973,2.578531023385801,1.129350037995172,-4.212713788045299,2.4921172415760653,1.150596546469234,-4.059169975613684,2.43313923013581,1.056030745477874,-3.8494699907375827,2.2704744708571396,1.0289955198804428,-3.4473056934734316,2.041916516962314,0.9053891765111177,-2.803756971540122,1.714772040435976,0.6989849311041461,-2.1462333902451225,1.2364363361169763,0.6297970541281461,-1.3985643248020554,0.7312344285604621,0.4873298962415933,-3.8742851797303417,-8.584525076051596,7.038810255781938
2020-12-03,2020,12,3,-4.890972399218021,-9.1347920640563,10.095764463274321,-3.883666611552023,-4.662107093187625,6.015773704739649,-3.7621156146752552,0.023559124962096983,3.198556489713158,-3.705327587397521,3.3965387153965807,0.3287888720009402,-3.643631219419785,3.359489818934223,0.30414140048556204,-3.3586684968718408,3.321790328441938,0.056878168429902676,-3.1101611593685714,3.10580416806866,-0.00564300870008827,-3.9082794402009786,2.9081263418450307,0.830153098355948,-4.156789120760471,2.5432133071730085,1.2035758135874621,-4.146284339140109,2.511616427953362,1.164667911186747,-4.211217451949317,2.2880239618844667,1.34319349006485,-4.057821506114791,2.3317382469275403,1.1260832591872503,-3.848281354026025,2.222524712730923,1.0457566412951018,-3.4462861223767853,1.9732547112041063,0.943031411172679,-2.803065153087562,1.6820170551266875,0.7210480979608742,-2.1456807875318447,1.243995497298673,0.6216852902331715,-1.3985324551863751,0.4245462670816847,0.7739861881046904,-3.8681146082867848,-0.27215889062896625,0.2702734989157509
2020-12-04,2020,12,4,-4.8835490648439395,1.5390836462623345,0.0344654185816049,-3.8798709124927555,-4.626587784223066,6.216458696715821,-3.7588874446867635,-0.17083678655592507,3.3897242312426883,-3.702553895107352,3.4847943026643002,0.237759592443052,-3.6413847733043343,3.362626784011304,0.3087579892930301,-3.358740770927577,3.319179900336355,0.05956087059122206,-3.1120634686192896,3.0980502231000795,0.00401324551921034,-3.9067130754268504,2.8688703608607993,0.857842714566051,-4.1549501761268495,2.4402748209464504,1.304675355180399,-4.1446876120018254,2.4339851808156348,1.2307024311861907,-4.209721075652511,2.2593198232676066,1.3504012523849043,-4.056473002843459,2.2548496920893224,1.2016233107541368,-3.8470926921859387,2.12807920365392,1.1190134885320187,-3.4452665408127396,1.91483234903894,1.0204341917737993,-2.8023733387139673,1.611243077474852,0.7911302612391151,-2.1451282091085537,1.1956040334739784,0.6695241756345753,-1.3985006043296322,1.2000300317662163,-0.0015294274365840188,-3.861944453727513,-0.37205655670377935,0.2540010104312924
2020-12-05,2020,12,5,-4.876126989017284,1.4915366120007139,0.03459037701657053,-3.8760754554334995,-4.924391563249412,6.730467018682912,-3.755659192843782,-0.41188692227944446,3.6575461151232265,-3.6997798355800384,3.579035784111593,0.14074405146844526,-3.639137376742477,3.359497389297481,0.30963998744499577,-3.358812191568943,3.316821140845083,0.061991050723859686,-3.1139656935281623,3.0997899149932175,0.004175778534944996,-3.90514671736121,2.8265784538047276,0.8985682635564824,-4.153111189569014,2.3840023075080374,1.3591088820609762,-4.143090880197852,2.338909785103218,1.3241810950946342,-4.208224659284005,2.1950332816535023,1.4231913776305025,-4.055124465846461,2.1614956983834173,1.2936287674630438,-3.8459040052425353,2.0092883391276937,1.2366156661148415,-3.444246948842129,1.8091166809333623,1.0951302679087664,-2.801681528512018,1.56057112720372,0.8411104013082982,-2.1445756552934507,1.1649984127677875,0.6995772425256632,-1.398468772460502,0.7329193695792856,0.4955494028812164,-3.8557747214410574,-0.45656651424839273,0.2223412356894503
2020-12-06,2020,12,6,-4.86870618029972,1.4239909778247901,0.03471520247492954,-3.8722802420278035,-5.558819031566492,7.431099273594295,-3.752430859436764,-0.7495909601246229,4.012021819561387,-3.6970054107143935,3.597201527353479,0.1198038833609143,-3.6368890296104874,3.356372550728565,0.31051647888192235,-3.3588827546827926,3.2706271431211476,0.1082556115616451,-3.115867833227657,3.1098860032467037,-0.004018170019046696,-3.903580366228083,2.7766775455788415,0.9469028206492411,-4.151272161415208,2.319892874461864,1.4213792869533437,-4.141494143964309,2.2175523510405166,1.443941792923792,-4.206728202977082,2.027228429683694,1.5794997732933882,-4.05377589517327,2.0473332956350685,1.406442599538201,-3.844715293222816,1.911378988417098,1.333336304805718,-3.4432273465274914,1.6932532500275228,1.2199740964999686,-2.800989722575582,1.5156668334664185,0.8853228891091636,-2.144023126408414,1.1521963778828042,0.71182674852561,-1.3984369598089232,1.2099250004651827,-0.001488040656259404,-3.84960541710905,-0.1566648719488855,-0.0037297109420642016
